layout,tile_count,total_cells,capacity,score_min,score_max
NewLayout_113.json,2,63,21,21.79,21.79
NewLayout_113.json,3,63,21,21.79,22.11
NewLayout_113.json,4,63,21,21.79,22.23
NewLayout_113.json,5,63,21,21.79,21.79
NewLayout_113.json,6,63,21,21.79,24.05
NewLayout_113.json,7,63,21,21.79,26.77
NewLayout_113.json,8,63,21,22.76,29.97
NewLayout_113.json,9,63,21,25.29,31.98
NewLayout_113.json,10,63,21,21.79,33.47
NewLayout_113.json,11,63,21,29.55,34.62
NewLayout_113.json,12,63,21,29.94,36.69
NewLayout_113.json,13,63,21,30.76,38.35
NewLayout_113.json,14,63,21,32.87,38.22
NewLayout_113.json,15,63,21,36.02,41.64
NewLayout_113.json,16,63,21,32.85,44.4
NewLayout_113.json,17,63,21,35.85,45.75
NewLayout_113.json,18,63,21,38.75,46.85
NewLayout_113.json,19,63,21,37.39,48.55
NewLayout_113.json,20,63,21,46.45,49.55
NewLayout_113.json,21,63,21,47.45,52.85
NewLayout_70.json,2,72,24,22.04,22.04
NewLayout_70.json,3,72,24,22.04,22.04
NewLayout_70.json,4,72,24,22.04,22.16
NewLayout_70.json,5,72,24,22.04,22.35
NewLayout_70.json,6,72,24,22.04,22.66
NewLayout_70.json,7,72,24,22.04,24.05
NewLayout_70.json,8,72,24,22.04,27.38
NewLayout_70.json,9,72,24,22.04,31.53
NewLayout_70.json,10,72,24,22.64,33.71
NewLayout_70.json,11,72,24,22.04,36.48
NewLayout_70.json,12,72,24,22.04,39.51
NewLayout_70.json,13,72,24,27.71,46.91
NewLayout_70.json,14,72,24,29.98,46.27
NewLayout_70.json,15,72,24,36.72,51.54
NewLayout_70.json,16,72,24,34.61,55.51
NewLayout_70.json,17,72,24,36.39,56.16
NewLayout_70.json,18,72,24,37.42,56.81
NewLayout_70.json,19,72,24,44.84,57.22
NewLayout_70.json,20,72,24,49.01,59.92
NewLayout_70.json,21,72,24,54.14,64.58
NewLayout_70.json,22,72,24,57.17,67.34
NewLayout_70.json,23,72,24,59.81,70.79
NewLayout_70.json,24,72,24,65.41,72.61
NewLayout_L10.json,2,72,24,14.9,14.9
NewLayout_L10.json,3,72,24,14.9,14.9
NewLayout_L10.json,4,72,24,14.9,14.9
NewLayout_L10.json,5,72,24,14.9,14.9
NewLayout_L10.json,6,72,24,14.9,14.9
NewLayout_L10.json,7,72,24,14.9,16.42
NewLayout_L10.json,8,72,24,14.9,21.98
NewLayout_L10.json,9,72,24,14.9,25.71
NewLayout_L10.json,10,72,24,14.9,27.71
NewLayout_L10.json,11,72,24,14.9,28.39
NewLayout_L10.json,12,72,24,14.9,31.33
NewLayout_L10.json,13,72,24,18.94,38.7
NewLayout_L10.json,14,72,24,20.0,40.04
NewLayout_L10.json,15,72,24,24.94,43.09
NewLayout_L10.json,16,72,24,35.49,44.67
NewLayout_L10.json,17,72,24,25.89,50.3
NewLayout_L10.json,18,72,24,37.44,50.74
NewLayout_L10.json,19,72,24,41.07,54.29
