layout,tile_count,total_cells,capacity,score_min,score_max,method_min,method_max,n_solvable,n_total,min_layout,min_inter,min_intra,min_cover100,min_pickdiv,max_layout,max_inter,max_intra,max_cover100,max_pickdiv
NewLayout_113.json,2,63,21,0.79,0.79,eng,eng,18,18,2.62,0.0,0.0,0,0,2.62,0.0,0.0,0,0
NewLayout_113.json,3,63,21,0.79,0.79,eng,eng,18,18,2.62,0.0,0.0,0,0,2.62,0.0,0.0,0,0
NewLayout_113.json,4,63,21,0.79,4.5,eng,custom,18,18,2.62,0.0,0.0,0,0,2.62,1.04,0.7,2,3
NewLayout_113.json,5,63,21,0.79,5.99,eng,custom,18,18,2.62,0.0,0.0,0,0,2.62,0.79,0.67,3,5
NewLayout_113.json,6,63,21,0.79,15.25,eng,custom,18,18,2.62,0.0,0.0,0,0,2.62,5.69,2.55,12,6
NewLayout_113.json,7,63,21,0.79,30.05,eng,custom,18,18,2.62,0.0,0.0,0,0,2.62,13.17,4.42,29,7
NewLayout_113.json,8,63,21,0.79,36.56,custom,custom,18,18,2.62,0.0,0.0,0,0,2.62,19.53,5.92,35,6
NewLayout_113.json,9,63,21,0.79,40.4,eng,custom,18,18,2.62,0.0,0.0,0,0,2.62,22.78,8.28,35,7
NewLayout_113.json,10,63,21,0.79,42.16,eng,custom,18,18,2.62,0.0,0.0,0,0,2.62,24.94,8.89,35,8
NewLayout_113.json,11,63,21,6.35,43.09,eng,custom,15,15,2.62,1.61,1.28,3,4,2.62,26.83,9.75,35,7
NewLayout_113.json,12,63,21,21.47,46.44,custom,eng,16,16,2.62,9.39,6.67,12,8,2.62,30.5,11.5,35,8
NewLayout_113.json,13,63,21,27.91,49.82,eng,custom,17,17,2.62,13.0,6.72,20,9,2.62,34.0,13.83,35,8
NewLayout_113.json,14,63,21,27.6,54.69,custom,custom,14,16,2.62,13.39,8.5,18,7,2.62,36.61,17.42,35,9
NewLayout_113.json,15,63,21,42.99,53.64,custom,eng,12,14,2.62,24.67,13.5,28,9,2.62,39.5,16.0,35,8
NewLayout_113.json,16,63,21,48.97,56.31,custom,custom,8,17,2.62,31.44,14.56,32,10,2.62,39.17,18.78,35,8
NewLayout_113.json,17,63,21,42.64,59.02,eng,custom,10,18,2.62,24.56,13.39,26,11,2.62,41.33,19.83,35,10
