layout,tile_count,total_cells,capacity,score_min,score_max
NewLayout_113.json,2,63,21,21.79,21.79
NewLayout_113.json,3,63,21,21.79,21.79
NewLayout_113.json,4,63,21,21.79,22.67
NewLayout_113.json,5,63,21,21.79,23.63
NewLayout_113.json,6,63,21,21.79,26.51
NewLayout_113.json,7,63,21,21.79,29.31
NewLayout_113.json,8,63,21,22.12,29.8
NewLayout_113.json,9,63,21,23.22,32.29
NewLayout_113.json,10,63,21,22.75,33.92
NewLayout_113.json,11,63,21,23.72,36.17
NewLayout_113.json,12,63,21,26.01,38.09
NewLayout_113.json,13,63,21,29.17,39.58
NewLayout_113.json,14,63,21,31.21,41.05
NewLayout_113.json,15,63,21,32.79,43.05
NewLayout_113.json,16,63,21,35.95,44.84
NewLayout_113.json,17,63,21,34.42,45.67
NewLayout_113.json,18,63,21,39.44,48.41
NewLayout_113.json,19,63,21,43.14,49.0
NewLayout_113.json,20,63,21,43.12,50.54
NewLayout_113.json,21,63,21,44.39,51.92
NewLayout_70.json,2,72,24,22.04,22.04
NewLayout_70.json,3,72,24,22.04,22.04
NewLayout_70.json,4,72,24,22.04,22.04
NewLayout_70.json,5,72,24,22.04,22.2
NewLayout_70.json,6,72,24,22.04,25.25
NewLayout_70.json,7,72,24,22.04,28.45
NewLayout_70.json,8,72,24,22.04,33.38
NewLayout_70.json,9,72,24,22.04,34.43
NewLayout_70.json,10,72,24,22.04,39.06
NewLayout_70.json,11,72,24,22.8,39.33
NewLayout_70.json,12,72,24,23.66,41.92
NewLayout_70.json,13,72,24,24.85,45.71
NewLayout_70.json,14,72,24,28.57,48.54
NewLayout_70.json,15,72,24,31.52,51.61
NewLayout_70.json,16,72,24,25.19,54.58
NewLayout_70.json,17,72,24,32.96,59.34
NewLayout_70.json,18,72,24,36.71,59.44
NewLayout_70.json,19,72,24,39.31,62.67
NewLayout_70.json,20,72,24,38.79,63.34
NewLayout_70.json,21,72,24,43.91,66.78
NewLayout_70.json,22,72,24,50.71,69.82
NewLayout_70.json,23,72,24,50.79,72.21
NewLayout_70.json,24,72,24,57.78,74.38
NewLayout_L10.json,2,72,24,14.9,14.9
NewLayout_L10.json,3,72,24,14.9,14.9
NewLayout_L10.json,4,72,24,14.9,14.9
NewLayout_L10.json,5,72,24,14.9,14.9
NewLayout_L10.json,6,72,24,14.9,17.27
NewLayout_L10.json,7,72,24,14.9,18.47
NewLayout_L10.json,8,72,24,14.9,21.45
NewLayout_L10.json,9,72,24,14.9,25.59
NewLayout_L10.json,10,72,24,14.9,26.43
NewLayout_L10.json,11,72,24,14.9,30.98
NewLayout_L10.json,12,72,24,14.9,33.63
NewLayout_L10.json,13,72,24,18.16,38.61
NewLayout_L10.json,14,72,24,20.75,41.92
NewLayout_L10.json,15,72,24,26.57,44.5
NewLayout_L10.json,16,72,24,25.72,49.06
NewLayout_L10.json,17,72,24,25.25,51.48
NewLayout_L10.json,18,72,24,38.62,53.21
NewLayout_L10.json,19,72,24,38.51,54.9
NewLayout_L10.json,20,72,24,37.95,59.89
NewLayout_L10.json,21,72,24,42.84,60.55
NewLayout_L10.json,22,72,24,47.8,62.5
NewLayout_L10.json,23,72,24,49.09,66.55
NewLayout_L10.json,24,72,24,44.14,67.64
NewLayout_L100.json,2,78,26,2.57,2.57
NewLayout_L100.json,3,78,26,2.57,2.57
NewLayout_L100.json,4,78,26,2.57,3.17
NewLayout_L100.json,5,78,26,2.57,3.41
NewLayout_L100.json,6,78,26,2.57,3.8
NewLayout_L100.json,7,78,26,2.57,4.75
NewLayout_L100.json,8,78,26,2.57,7.15
NewLayout_L100.json,9,78,26,2.57,8.29
NewLayout_L100.json,10,78,26,2.57,8.76
NewLayout_L100.json,11,78,26,2.57,12.36
NewLayout_L100.json,12,78,26,2.57,14.6
NewLayout_L100.json,13,78,26,5.67,16.54
NewLayout_L100.json,14,78,26,6.75,18.82
NewLayout_L100.json,15,78,26,9.82,20.75
NewLayout_L100.json,16,78,26,9.3,20.52
NewLayout_L100.json,17,78,26,10.85,24.04
NewLayout_L100.json,18,78,26,10.72,27.32
NewLayout_L100.json,19,78,26,13.13,28.07
NewLayout_L100.json,20,78,26,14.29,29.43
NewLayout_L100.json,21,78,26,16.35,32.34
NewLayout_L100.json,22,78,26,15.34,32.79
NewLayout_L100.json,23,78,26,24.45,35.24
NewLayout_L100.json,24,78,26,25.17,37.15
NewLayout_L100.json,25,78,26,23.09,37.89
NewLayout_L101.json,2,51,17,7.25,13.58
NewLayout_L101.json,3,51,17,11.6,18.45
NewLayout_L101.json,4,51,17,14.94,26.87
NewLayout_L101.json,5,51,17,21.04,34.9
NewLayout_L101.json,6,51,17,27.97,41.76
NewLayout_L101.json,7,51,17,33.95,52.91
NewLayout_L101.json,8,51,17,38.94,57.36
NewLayout_L101.json,9,51,17,50.36,65.89
NewLayout_L101.json,10,51,17,51.39,73.81
NewLayout_L101.json,11,51,17,61.93,80.79
NewLayout_L101.json,12,51,17,60.74,89.88
NewLayout_L101.json,13,51,17,74.55,95.97
NewLayout_L101.json,14,51,17,77.24,103.72
NewLayout_L101.json,15,51,17,84.35,112.09
NewLayout_L101.json,16,51,17,90.15,116.82
NewLayout_L101.json,17,51,17,98.2,126.37
NewLayout_L102.json,2,78,26,20.58,20.58
NewLayout_L102.json,3,78,26,20.58,21.07
NewLayout_L102.json,4,78,26,20.58,23.67
NewLayout_L102.json,5,78,26,20.58,24.81
NewLayout_L102.json,6,78,26,20.58,26.26
NewLayout_L102.json,7,78,26,20.58,30.74
NewLayout_L102.json,8,78,26,23.72,36.36
NewLayout_L102.json,9,78,26,24.37,38.88
NewLayout_L102.json,10,78,26,25.1,40.35
NewLayout_L102.json,11,78,26,27.2,41.79
NewLayout_L102.json,12,78,26,30.21,47.67
NewLayout_L102.json,13,78,26,33.77,50.22
NewLayout_L102.json,14,78,26,38.09,53.3
NewLayout_L102.json,15,78,26,37.34,55.89
NewLayout_L102.json,16,78,26,45.69,60.42
NewLayout_L102.json,17,78,26,40.19,63.99
NewLayout_L102.json,18,78,26,41.03,67.5
NewLayout_L102.json,19,78,26,49.51,71.22
NewLayout_L102.json,20,78,26,54.6,73.81
NewLayout_L102.json,21,78,26,57.76,76.08
NewLayout_L102.json,22,78,26,59.78,78.43
NewLayout_L102.json,23,78,26,62.79,82.98
NewLayout_L102.json,24,78,26,67.36,85.34
NewLayout_L102.json,25,78,26,66.36,86.88
NewLayout_L103.json,2,84,28,17.29,17.29
NewLayout_L103.json,3,84,28,17.29,17.29
NewLayout_L103.json,4,84,28,17.29,21.08
NewLayout_L103.json,5,84,28,17.29,22.73
NewLayout_L103.json,6,84,28,17.29,30.11
NewLayout_L103.json,7,84,28,17.29,30.69
NewLayout_L103.json,8,84,28,17.29,35.13
NewLayout_L103.json,9,84,28,17.29,38.65
NewLayout_L103.json,10,84,28,17.29,44.86
NewLayout_L103.json,11,84,28,24.62,46.62
NewLayout_L103.json,12,84,28,28.22,50.6
NewLayout_L103.json,13,84,28,34.61,54.23
NewLayout_L103.json,14,84,28,44.19,58.73
NewLayout_L103.json,15,84,28,38.16,62.11
NewLayout_L103.json,16,84,28,48.23,64.77
NewLayout_L103.json,17,84,28,44.23,69.24
NewLayout_L103.json,18,84,28,47.64,72.55
NewLayout_L103.json,19,84,28,59.72,76.0
NewLayout_L103.json,20,84,28,61.03,80.2
NewLayout_L103.json,21,84,28,63.33,83.12
NewLayout_L103.json,22,84,28,65.69,85.94
NewLayout_L103.json,23,84,28,68.03,88.66
NewLayout_L103.json,24,84,28,76.84,92.63
NewLayout_L103.json,25,84,28,64.64,96.38
NewLayout_L104.json,2,111,37,46.63,47.1
NewLayout_L104.json,3,111,37,50.74,51.91
NewLayout_L104.json,4,111,37,53.98,56.42
NewLayout_L104.json,5,111,37,59.64,64.02
NewLayout_L104.json,6,111,37,64.88,68.53
NewLayout_L104.json,7,111,37,67.02,75.45
NewLayout_L104.json,8,111,37,74.76,81.25
NewLayout_L104.json,9,111,37,79.99,88.73
NewLayout_L104.json,10,111,37,85.44,94.23
NewLayout_L104.json,11,111,37,90.1,99.31
NewLayout_L104.json,12,111,37,95.95,105.11
NewLayout_L104.json,13,111,37,99.35,112.75
NewLayout_L104.json,14,111,37,105.73,118.42
NewLayout_L104.json,15,111,37,111.77,126.23
NewLayout_L104.json,16,111,37,117.31,131.21
NewLayout_L104.json,17,111,37,125.26,139.2
NewLayout_L104.json,18,111,37,127.45,145.78
NewLayout_L104.json,19,111,37,133.92,153.64
NewLayout_L104.json,20,111,37,137.19,164.19
NewLayout_L104.json,21,111,37,147.37,174.72
NewLayout_L104.json,22,111,37,153.89,175.75
NewLayout_L104.json,23,111,37,161.11,179.57
NewLayout_L104.json,24,111,37,164.12,190.14
NewLayout_L104.json,25,111,37,166.42,199.06
NewLayout_L105.json,2,78,26,21.74,21.78
NewLayout_L105.json,3,78,26,21.74,21.93
NewLayout_L105.json,4,78,26,21.74,27.52
NewLayout_L105.json,5,78,26,21.74,30.02
NewLayout_L105.json,6,78,26,21.74,34.71
NewLayout_L105.json,7,78,26,21.91,42.43
NewLayout_L105.json,8,78,26,22.12,47.66
NewLayout_L105.json,9,78,26,33.14,53.29
NewLayout_L105.json,10,78,26,33.86,59.47
NewLayout_L105.json,11,78,26,42.25,66.34
NewLayout_L105.json,12,78,26,42.46,75.55
NewLayout_L105.json,13,78,26,51.28,80.57
NewLayout_L105.json,14,78,26,56.65,86.21
NewLayout_L105.json,15,78,26,57.51,92.3
NewLayout_L105.json,16,78,26,68.94,99.83
NewLayout_L105.json,17,78,26,72.83,104.83
NewLayout_L105.json,18,78,26,74.57,105.99
NewLayout_L105.json,19,78,26,81.82,115.4
NewLayout_L105.json,20,78,26,90.87,119.59
NewLayout_L105.json,21,78,26,98.59,128.44
NewLayout_L105.json,22,78,26,105.22,131.74
NewLayout_L105.json,23,78,26,111.41,136.02
NewLayout_L105.json,24,78,26,109.92,142.62
NewLayout_L105.json,25,78,26,113.09,148.92
NewLayout_L106.json,2,72,24,8.97,8.97
NewLayout_L106.json,3,72,24,8.97,9.07
NewLayout_L106.json,4,72,24,8.97,9.13
NewLayout_L106.json,5,72,24,8.97,9.99
NewLayout_L106.json,6,72,24,8.97,10.99
NewLayout_L106.json,7,72,24,8.97,10.85
NewLayout_L106.json,8,72,24,8.97,13.01
NewLayout_L106.json,9,72,24,8.97,13.97
NewLayout_L106.json,10,72,24,8.97,15.94
NewLayout_L106.json,11,72,24,9.06,16.72
NewLayout_L106.json,12,72,24,9.88,17.49
NewLayout_L106.json,13,72,24,9.99,18.92
NewLayout_L106.json,14,72,24,11.82,21.34
NewLayout_L106.json,15,72,24,13.35,22.85
NewLayout_L106.json,16,72,24,13.93,25.18
NewLayout_L106.json,17,72,24,14.44,26.72
NewLayout_L106.json,18,72,24,14.6,27.94
NewLayout_L106.json,19,72,24,18.49,28.25
NewLayout_L106.json,20,72,24,16.97,31.5
NewLayout_L106.json,21,72,24,21.24,31.58
NewLayout_L106.json,22,72,24,19.77,33.05
NewLayout_L106.json,23,72,24,22.99,33.82
NewLayout_L106.json,24,72,24,27.97,35.5
NewLayout_L107.json,2,63,21,15.05,15.05
NewLayout_L107.json,3,63,21,15.05,15.47
NewLayout_L107.json,4,63,21,15.05,15.95
NewLayout_L107.json,5,63,21,15.05,16.28
NewLayout_L107.json,6,63,21,15.05,17.77
NewLayout_L107.json,7,63,21,15.05,19.79
NewLayout_L107.json,8,63,21,15.05,21.37
NewLayout_L107.json,9,63,21,15.9,24.23
NewLayout_L107.json,10,63,21,16.68,25.82
NewLayout_L107.json,11,63,21,15.05,27.43
NewLayout_L107.json,12,63,21,18.69,29.8
NewLayout_L107.json,13,63,21,17.5,30.78
NewLayout_L107.json,14,63,21,21.97,31.95
NewLayout_L107.json,15,63,21,21.1,33.84
NewLayout_L107.json,16,63,21,22.51,35.3
NewLayout_L107.json,17,63,21,30.1,38.09
NewLayout_L107.json,18,63,21,26.35,40.18
NewLayout_L107.json,19,63,21,31.6,40.58
NewLayout_L107.json,20,63,21,32.26,41.6
NewLayout_L107.json,21,63,21,35.98,42.95
NewLayout_L108.json,2,72,24,29.9,29.9
NewLayout_L108.json,3,72,24,29.9,30.24
NewLayout_L108.json,4,72,24,29.9,32.04
NewLayout_L108.json,5,72,24,29.9,36.04
NewLayout_L108.json,6,72,24,29.9,37.44
NewLayout_L108.json,7,72,24,30.93,39.18
NewLayout_L108.json,8,72,24,31.37,41.31
NewLayout_L108.json,9,72,24,34.34,44.29
NewLayout_L108.json,10,72,24,33.81,45.3
NewLayout_L108.json,11,72,24,38.89,48.38
NewLayout_L108.json,12,72,24,40.85,49.73
NewLayout_L108.json,13,72,24,42.59,52.13
NewLayout_L108.json,14,72,24,45.59,54.01
NewLayout_L108.json,15,72,24,48.69,56.51
NewLayout_L108.json,16,72,24,49.02,58.77
NewLayout_L108.json,17,72,24,51.48,60.49
NewLayout_L108.json,18,72,24,55.45,62.44
NewLayout_L108.json,19,72,24,57.27,65.29
NewLayout_L108.json,20,72,24,59.5,67.42
NewLayout_L108.json,21,72,24,62.22,69.68
NewLayout_L108.json,22,72,24,65.03,71.2
NewLayout_L108.json,23,72,24,66.55,73.58
NewLayout_L108.json,24,72,24,67.67,74.67
NewLayout_L109.json,2,126,42,43.27,47.15
NewLayout_L109.json,3,126,42,43.27,50.17
NewLayout_L109.json,4,126,42,47.27,56.22
NewLayout_L109.json,5,126,42,47.17,61.34
NewLayout_L109.json,6,126,42,53.67,65.55
NewLayout_L109.json,7,126,42,54.66,72.17
NewLayout_L109.json,8,126,42,62.33,75.55
NewLayout_L109.json,9,126,42,66.8,83.6
NewLayout_L109.json,10,126,42,71.94,88.73
NewLayout_L109.json,11,126,42,74.5,94.88
NewLayout_L109.json,12,126,42,77.46,101.38
NewLayout_L109.json,13,126,42,82.57,108.96
NewLayout_L109.json,14,126,42,91.78,115.94
NewLayout_L109.json,15,126,42,94.82,119.76
NewLayout_L109.json,16,126,42,95.43,127.8
NewLayout_L109.json,17,126,42,106.87,133.3
NewLayout_L109.json,18,126,42,105.84,142.66
NewLayout_L109.json,19,126,42,117.61,150.12
NewLayout_L109.json,20,126,42,126.26,153.25
NewLayout_L109.json,21,126,42,127.54,160.11
NewLayout_L109.json,22,126,42,129.38,167.05
NewLayout_L109.json,23,126,42,141.68,167.51
NewLayout_L109.json,24,126,42,144.08,182.77
NewLayout_L109.json,25,126,42,150.9,193.16
NewLayout_L11.json,2,54,18,3.83,3.83
NewLayout_L11.json,3,54,18,3.83,4.2
NewLayout_L11.json,4,54,18,3.83,6.74
NewLayout_L11.json,5,54,18,3.83,9.29
NewLayout_L11.json,6,54,18,3.83,10.93
NewLayout_L11.json,7,54,18,3.83,13.86
NewLayout_L11.json,8,54,18,3.83,15.06
NewLayout_L11.json,9,54,18,7.98,15.96
NewLayout_L11.json,10,54,18,6.62,18.93
NewLayout_L11.json,11,54,18,11.16,20.74
NewLayout_L11.json,12,54,18,14.18,21.96
NewLayout_L11.json,13,54,18,16.83,23.94
NewLayout_L11.json,14,54,18,17.16,25.83
NewLayout_L11.json,15,54,18,18.47,27.56
NewLayout_L11.json,16,54,18,14.66,28.81
NewLayout_L11.json,17,54,18,23.13,30.46
NewLayout_L11.json,18,54,18,24.66,31.96
NewLayout_L110.json,2,57,19,13.9,14.05
NewLayout_L110.json,3,57,19,13.9,14.3
NewLayout_L110.json,4,57,19,13.9,14.54
NewLayout_L110.json,5,57,19,13.9,15.76
NewLayout_L110.json,6,57,19,13.9,17.09
NewLayout_L110.json,7,57,19,13.9,17.84
NewLayout_L110.json,8,57,19,13.9,20.96
NewLayout_L110.json,9,57,19,13.9,21.96
NewLayout_L110.json,10,57,19,14.9,24.94
NewLayout_L110.json,11,57,19,16.02,25.79
NewLayout_L110.json,12,57,19,17.76,25.99
NewLayout_L110.json,13,57,19,19.98,28.78
NewLayout_L110.json,14,57,19,20.19,31.51
NewLayout_L110.json,15,57,19,22.76,33.88
NewLayout_L110.json,16,57,19,24.08,35.0
