layout,strategy,tile_count,total_cells,capacity,score_min,score_max,method_min,method_max,n_solvable,n_total,min_layout,min_inter,min_intra,min_cover100,min_pickdiv,max_layout,max_inter,max_intra,max_cover100,max_pickdiv
NewLayout_Clover.json,Random,2,45,15,0.29,0.29,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,3,45,15,0.29,0.29,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,4,45,15,0.29,0.29,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,5,45,15,0.29,0.29,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,6,45,15,0.29,0.29,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,7,45,15,0.29,0.29,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,8,45,15,0.29,6.68,eng,random,18,18,0.98,0.0,0.0,0,0,0.98,2.78,2.06,0,7
NewLayout_Clover.json,Random,9,45,15,0.29,0.29,eng,eng,17,17,0.98,0.0,0.0,0,0,0.98,0.0,0.0,0,0
NewLayout_Clover.json,Random,10,45,15,0.29,9.6,eng,random,18,18,0.98,0.0,0.0,0,0,0.98,6.39,3.89,0,7
NewLayout_Clover.json,Random,11,45,15,0.29,10.51,eng,random,18,18,0.98,0.0,0.0,0,0,0.98,5.17,4.17,0,9
NewLayout_Clover.json,Random,12,45,15,0.29,14.79,random,eng,18,18,0.98,0.0,0.0,0,0,0.98,10.0,6.0,0,11
NewLayout_Clover.json,Random,13,45,15,0.29,16.01,eng,random,18,18,0.98,0.0,0.0,0,0,0.98,10.17,6.67,0,12
NewLayout_Clover.json,Random,14,45,15,0.29,18.68,eng,eng,18,18,0.98,0.0,0.0,0,0,0.98,13.5,8.33,0,12
NewLayout_Clover.json,Random,15,45,15,13.29,19.63,eng,eng,19,19,0.98,8.33,5.0,0,11,0.98,13.33,8.33,0,14
NewLayout_L101.json,Cascade,2,51,17,8.38,15.36,cascade,eng,18,18,14.12,6.85,1.09,0,2,14.12,23.04,2.01,2,2
NewLayout_L101.json,Cascade,3,51,17,13.71,21.91,eng,cascade,18,18,14.12,17.07,3.35,0,2,14.12,35.15,4.43,2,3
NewLayout_L101.json,Cascade,4,51,17,19.0,35.61,cascade,cascade,18,18,14.12,30.15,4.72,0,2,14.12,52.03,12.56,2,4
NewLayout_L101.json,Cascade,5,51,17,28.75,45.42,cascade,eng,14,18,14.12,47.28,9.83,0,1,14.12,71.47,16.54,2,4
NewLayout_L101.json,Cascade,6,51,17,40.78,51.6,cascade,eng,6,19,14.12,73.98,11.65,2,3,14.12,83.33,18.67,2,5
NewLayout_L101.json,Cascade,7,51,17,45.89,60.7,eng,eng,7,18,14.12,74.33,17.25,1,3,14.12,101.06,22.44,2,5
NewLayout_L101.json,Cascade,8,51,17,64.29,69.62,eng,cascade,2,16,14.12,110.72,23.64,2,4,14.12,115.17,27.14,2,5
NewLayout_L107.json,Priority,2,63,21,0.65,0.65,eng,eng,18,18,2.16,0.0,0.0,0,0,2.16,0.0,0.0,0,0
NewLayout_L107.json,Priority,3,63,21,0.65,0.65,eng,eng,18,18,2.16,0.0,0.0,0,0,2.16,0.0,0.0,0,0
